 09/05-09:16	2349.000	2349.000	2346.000	2347.800	           5830	      1.000	   2346.667	   2345.254	   2345.756	   2345.627	           	      0.067	      0.079	     -0.021	      0.000	
 09/05-09:17	2347.200	2348.800	2347.200	2348.800	           2366	      2.000	   2346.725	   2345.346	   2345.773	   2345.625	           	      0.058	      0.092	      0.029	      0.000	
 09/05-09:18	2348.400	2348.800	2347.800	2348.600	           1748	      3.000	   2346.783	   2345.442	   2345.794	   2345.632	           	      0.058	      0.096	      0.037	      0.000	
 09/05-09:19	2348.800	2349.000	2348.200	2348.400	           1570	      4.000	   2346.850	   2345.546	   2345.800	   2345.638	           	      0.067	      0.104	      0.027	      0.000	
 09/05-09:20	2348.600	2348.800	2348.200	2348.600	            933	      5.000	   2346.908	   2345.654	   2345.802	   2345.640	           	      0.058	      0.108	      0.008	      0.000	
 09/05-09:21	2348.400	2348.600	2347.600	2347.800	           1207	      6.000	   2346.933	   2345.733	   2345.792	   2345.643	           	      0.025	      0.079	     -0.008	      0.000	
 09/05-09:22	2347.800	2348.000	2347.200	2347.400	           1164	      7.000	   2346.975	   2345.808	   2345.781	   2345.636	           	      0.042	      0.075	     -0.021	      0.000	
 09/05-09:23	2347.200	2347.400	2345.000	2345.000	           2576	      8.000	   2346.942	   2345.829	   2345.750	   2345.619	           	     -0.033	      0.021	     -0.042	      0.000	
 09/05-09:24	2344.800	2346.600	2344.800	2345.800	           1873	      9.000	   2346.900	   2345.871	   2345.735	   2345.602	           	     -0.042	      0.042	     -0.046	      0.000	
 09/05-09:25	2345.600	2346.000	2345.000	2345.200	           1722	     10.000	   2346.850	   2345.887	   2345.725	   2345.582	           	     -0.050	      0.017	     -0.025	      0.000	
 09/05-09:26	2345.200	2346.200	2345.000	2345.600	           1276	     11.000	   2346.800	   2345.908	   2345.715	   2345.564	           	     -0.050	      0.021	     -0.021	      0.000	
 09/05-09:27	2345.800	2346.400	2345.600	2345.600	           1058	     12.000	   2346.783	   2345.938	   2345.706	   2345.546	           	     -0.017	      0.029	     -0.019	      0.000	
 09/05-09:28	2345.600	2346.600	2345.600	2346.200	            940	     13.000	   2346.767	   2345.975	   2345.698	   2345.534	           	     -0.017	      0.038	     -0.017	      0.000	
 09/05-09:29	2346.600	2346.600	2345.400	2345.600	            986	     14.000	   2346.725	   2346.008	   2345.690	   2345.518	           	     -0.042	      0.033	     -0.017	      0.000	
 09/05-09:30	2345.600	2346.400	2345.200	2345.400	            954	     15.000	   2346.683	   2346.029	   2345.677	   2345.510	           	     -0.042	      0.021	     -0.021	      0.000	
 09/05-09:31	2345.400	2346.000	2343.400	2345.600	           2546	     16.000	   2346.608	   2346.042	   2345.663	   2345.505	           	     -0.075	      0.013	     -0.027	      0.000	
 09/05-09:32	2345.600	2345.800	2344.000	2344.400	           1646	     17.000	   2346.500	   2346.038	   2345.650	   2345.496	           	     -0.108	     -0.004	     -0.027	      0.000	
 09/05-09:33	2344.400	2345.200	2343.000	2344.800	           2824	     18.000	   2346.400	   2346.050	   2345.637	   2345.492	           	     -0.100	      0.012	     -0.025	      0.000	
