申通快递|shentong
EMS|ems
顺丰快递|shunfeng
圆通速递|yuantong
韵达快递|yunda
中通速递|zhongtong
天天快递|tiantian
宅急送|zhaijisong
中铁快运|zhongtiewuliu
源伟丰快递|yuanweifeng
元智捷诚快递|yuanzhijiecheng
中邮物流|zhongyouwuliu
运通快递|yuntongkuaidi
越丰物流|yuefengwuliu
源安达|yuananda
速尔物流|suer
盛丰物流|shengfengwuliu
天地华宇|tiandihuayu
AAE全球专递|aae
安捷快递|anjiekuaidi
安信达快递|anxindakuaixi
百福东方|baifudongfang
彪记快递|biaojikuaidi
BHT|bht
希伊艾斯快递|cces
中国东方|coe
长宇物流|changyuwuliu
大田物流|datianwuliu
德邦物流|debangwuliu
DPEX|dpex
DHL|dhl
D速快递|dsukuaidi
TNT|tnt
UPS|ups
万家物流|wanjiawuliu
文捷航空速递|wenjiesudi
伍圆速递|wuyuansudi
万象物流|wanxiangwuliu
新邦物流|xinbangwuliu
信丰物流|xinfengwuliu
星晨急便|xingchengjibian
鑫飞鸿物流|xinhongyukuaidi
亚风速递|yafengsudi
一邦速递|yibangwuliu
优速物流|youshuwuliu
邮政包裹挂号信|youzhengguonei
邮政国际包裹挂号信|youzhengguoji
远成物流|yuanchengwuliu
DEDEX|fedex
飞康达物流|feikangda
凤凰快递|fenghuangkuaidi
港中能达物流|ganzhongnengda
广东邮政物流|guangdongyouzhengwuliu
汇通快运|huitongkuaidi
恒路物流|hengluwuliu
佳怡物流|jiayiwuliu
京广速递|jinguangsudikuaijian
急先达|jixianda
佳吉物流|jiajiwuliu
加运美|jiayunmeiwuliu
快捷速递|kuaijiesudi
联昊通物流|lianhaowuliu
龙邦物流|longbanwuliu
民航快递|minghangkuaidi
配思货运|peisihuoyunkuaidi
全晨快递|quanchenkuaidi
全际通物流|quanjitong
全日通快递|quanritongkuaidi
全一快递|quanyikuaidi
盛辉物流|shenghuiwuliu
