 08/29-09:16	2333.600	2334.600	2328.200	2329.600	           9042	      1.000	   2321.875	   2328.217	   2330.036	   2325.387	      0.150	     -0.277	      0.206	      0.000	      1.000	   2324.792	   2321.875	   2328.217	   2330.036	   2325.387	      6.342	      0.000	      8.161	      0.000	      4.649	      0.000	     -0.014	      0.293	      4.649	     -6.342	      4.213	      7.725	      0.000	      0.000	      1.000	      0.000	      2.542	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:17	2329.600	2330.600	2329.400	2329.600	           3600	      2.000	   2322.075	   2327.983	   2330.150	   2325.408	      0.200	     -0.233	      0.235	      0.000	      2.000	   2327.333	   2322.075	   2327.983	   2330.150	   2325.408	      5.908	      0.000	      8.075	      0.000	      4.742	      0.000	      0.018	      0.361	      4.742	     -5.908	      4.192	      7.525	      0.000	      0.000	      1.000	      0.000	      2.542	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:18	2329.600	2332.000	2328.800	2331.800	           2406	      3.000	   2322.321	   2327.790	   2330.289	   2325.440	      0.246	     -0.194	      0.252	      0.000	      3.000	   2330.333	   2322.321	   2327.790	   2330.289	   2325.440	      5.469	      0.000	      7.968	      0.000	      4.849	      0.000	      0.066	      0.458	      4.849	     -5.469	      6.360	      9.479	      0.000	      0.000	      1.000	      0.000	      3.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:19	2331.800	2331.800	2330.600	2331.400	           1393	      4.000	   2322.467	   2327.606	   2330.415	   2325.475	      0.146	     -0.183	      0.265	      0.000	      4.000	   2330.917	   2322.467	   2327.606	   2330.415	   2325.475	      5.140	      0.000	      7.948	      0.000	      4.939	      0.000	      0.107	      0.500	      4.939	     -5.140	      5.925	      8.933	      0.000	      0.000	      1.000	      0.000	      0.583	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:20	2331.400	2333.200	2331.000	2333.000	           2318	      5.000	   2322.771	   2327.408	   2330.536	   2325.509	      0.304	     -0.198	      0.248	      0.000	      5.000	   2332.042	   2322.771	   2327.408	   2330.536	   2325.509	      4.638	      0.000	      7.766	      0.000	      5.028	      0.000	      0.121	      0.500	      5.028	     -4.638	      7.491	     10.229	      0.000	      0.000	      1.000	      0.000	      1.125	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:21	2333.000	2333.800	2331.600	2333.400	           1744	      6.000	   2323.329	   2327.281	   2330.674	   2325.539	      0.558	     -0.127	      0.260	      0.000	      6.000	   2332.625	   2323.329	   2327.281	   2330.674	   2325.539	      3.952	      0.000	      7.345	      0.000	      5.135	      0.000	      0.131	      0.524	      5.135	     -3.952	      7.861	     10.071	      0.000	      0.000	      1.000	      0.000	      0.583	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:22	2333.200	2334.800	2333.000	2334.600	           2657	      7.000	   2323.800	   2327.167	   2330.817	   2325.570	      0.471	     -0.115	      0.280	      0.000	      7.000	   2333.667	   2323.800	   2327.167	   2330.817	   2325.570	      3.367	      0.000	      7.017	      0.000	      5.246	      0.000	      0.130	      0.528	      5.246	     -3.367	      9.030	     10.800	      0.000	      0.000	      1.000	      0.000	      1.042	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:23	2334.600	2336.800	2334.600	2336.200	           3615	      8.000	   2324.292	   2327.083	   2330.965	   2325.605	      0.492	     -0.083	      0.291	      0.000	      8.000	   2334.750	   2324.292	   2327.083	   2330.965	   2325.605	      2.792	      0.000	      6.673	      0.000	      5.360	      0.000	      0.130	      0.550	      5.360	     -2.792	     10.595	     11.908	      0.000	      0.000	      1.000	      0.000	      1.083	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:24	2336.200	2339.000	2336.200	2338.600	           3892	      9.000	   2324.875	   2327.040	   2331.119	   2325.656	      0.583	     -0.044	      0.302	      0.000	      9.000	   2336.458	   2324.875	   2327.040	   2331.119	   2325.656	      2.165	      0.000	      6.244	      0.000	      5.463	      0.000	      0.147	      0.582	      5.463	     -2.165	     12.944	     13.725	      0.000	      0.000	      1.000	      0.000	      1.708	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:25	2338.800	2341.400	2337.600	2340.800	           5433	     10.000	   2325.492	   2327.040	   2331.259	   2325.713	      0.617	      0.000	      0.295	      0.000	     10.000	   2338.542	   2325.492	   2327.040	   2331.259	   2325.713	      1.548	      1.000	      5.768	      0.000	      5.547	      0.000	      0.174	      0.585	      5.547	     -1.548	     15.087	     15.308	      0.000	      0.000	      1.000	      0.000	      2.083	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:26	2340.800	2341.200	2338.600	2340.200	           3084	     11.000	   2326.079	   2327.071	   2331.397	   2325.770	      0.587	      0.031	      0.278	      0.000	     11.000	   2339.875	   2326.079	   2327.071	   2331.397	   2325.770	      1.301	      1.000	      5.318	      0.000	      5.627	      0.000	      0.199	      0.580	      5.627	     -0.992	     14.430	     14.121	      0.000	      0.000	      0.000	      0.000	      1.333	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:27	2340.400	2341.200	2338.800	2339.600	           2058	     12.000	   2326.633	   2327.081	   2331.519	   2325.822	      0.554	      0.010	      0.260	      0.000	     12.000	   2340.208	   2326.633	   2327.081	   2331.519	   2325.822	      1.260	      1.000	      4.885	      0.000	      5.697	      0.000	      0.217	      0.554	      5.697	     -0.448	     13.778	     12.967	      0.000	      0.000	      0.000	      0.000	      0.333	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:28	2339.600	2343.000	2339.600	2341.200	           3944	     13.000	   2327.233	   2327.167	   2331.656	   2325.872	      0.600	      0.085	      0.259	      0.000	     13.000	   2340.333	   2327.233	   2327.167	   2331.656	   2325.872	      1.361	      1.000	      4.490	      0.000	      5.784	      0.000	      0.216	      0.538	      5.784	      0.067	     15.328	     13.967	      0.000	      0.000	      0.000	      0.000	      0.125	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:29	2341.200	2342.400	2340.000	2340.600	           2108	     14.000	   2327.800	   2327.256	   2331.775	   2325.916	      0.567	      0.090	      0.256	      0.000	     14.000	   2340.458	   2327.800	   2327.256	   2331.775	   2325.916	      1.884	      0.000	      4.519	      0.000	      5.859	      0.000	      0.203	      0.516	      5.859	      0.544	     14.684	     12.800	      0.000	      0.000	      0.000	      0.000	      0.125	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:30	2340.600	2343.200	2339.600	2341.200	           3604	     15.000	   2328.421	   2327.415	   2331.908	   2325.963	      0.621	      0.158	      0.252	      0.000	     15.000	   2341.000	   2328.421	   2327.415	   2331.908	   2325.963	      2.458	      0.000	      4.494	      0.000	      5.945	      0.000	      0.194	      0.511	      5.945	      1.006	     15.237	     12.779	      0.000	      0.000	      0.000	      0.000	      0.542	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:31	2341.400	2341.800	2339.000	2341.000	           2973	     16.000	   2329.096	   2327.577	   2332.032	   2326.008	      0.675	      0.163	      0.257	      0.000	     16.000	   2340.958	   2329.096	   2327.577	   2332.032	   2326.008	      3.088	      0.000	      4.455	      0.000	      6.024	      0.000	      0.187	      0.513	      6.024	      1.519	     14.992	     11.904	      0.000	      0.000	      0.000	      0.000	     -0.042	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/29-09:32	2341.600	2343.800	2338.400	2339.400	           4229	     17.000	   2329.696	   2327.715	   2332.132	   2326.054	      0.600	      0.137	      0.224	      1.000	     17.000	   2340.542	   2329.696	   2327.715	   2332.132	   2326.054	      3.641	      0.000	      4.418	      0.000	      6.078	      0.000	      0.182	      0.476	      6.078	      1.981	     13.345	      9.704	      0.000	      0.000	      0.000	      0.000	     -0.417	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
