 09/16-09:16	2505.800	2507.200	2503.000	2503.200	           6699	      1.000	   2493.500	   2493.867	   2491.662	           	           	      0.373	      0.223	      0.252	      0.000	
 09/16-09:17	2503.200	2503.400	2502.000	2503.200	           2106	      2.000	   2493.907	   2494.054	   2491.800	           	           	      0.407	      0.187	      0.295	      0.000	
 09/16-09:18	2503.600	2504.600	2503.000	2504.400	           1292	      3.000	   2494.300	   2494.246	   2491.957	           	           	      0.393	      0.193	      0.295	      0.000	
 09/16-09:19	2504.200	2506.200	2504.200	2505.000	           1839	      4.000	   2494.733	   2494.420	   2492.115	           	           	      0.433	      0.173	      0.315	      0.000	
 09/16-09:20	2505.000	2505.200	2503.200	2503.600	           1217	      5.000	   2495.141	   2494.617	   2492.249	           	           	      0.407	      0.197	      0.292	      0.000	
 09/16-09:21	2503.400	2504.200	2502.600	2504.200	           1337	      6.000	   2495.520	   2494.833	   2492.398	           	           	      0.379	      0.216	      0.283	      0.000	
 09/16-09:22	2504.000	2506.000	2504.000	2505.000	           1490	      7.000	   2495.953	   2495.043	   2492.545	           	           	      0.433	      0.210	      0.296	      0.000	
 09/16-09:23	2505.000	2509.000	2504.800	2506.000	           2777	      8.000	   2496.433	   2495.270	   2492.673	           	           	      0.480	      0.227	      0.275	      0.000	
 09/16-09:24	2506.000	2506.400	2505.000	2505.800	           1577	      9.000	   2496.894	   2495.473	   2492.797	           	           	      0.460	      0.203	      0.252	      0.000	
 09/16-09:25	2506.200	2509.000	2506.000	2509.000	           2169	     10.000	   2497.474	   2495.714	   2492.928	           	           	      0.580	      0.240	      0.255	      0.000	
 09/16-09:26	2509.000	2509.400	2507.200	2507.400	           2445	     11.000	   2498.040	   2495.913	   2493.050	           	           	      0.566	      0.199	      0.253	      0.000	
 09/16-09:27	2507.200	2508.800	2506.400	2508.600	           1515	     12.000	   2498.607	   2496.150	   2493.187	           	           	      0.568	      0.237	      0.258	      0.000	
 09/16-09:28	2508.600	2508.800	2506.200	2507.000	           1300	     13.000	   2499.121	   2496.360	   2493.312	           	           	      0.514	      0.210	      0.262	      0.000	
 09/16-09:29	2507.000	2508.000	2506.800	2507.400	           1049	     14.000	   2499.667	   2496.583	   2493.443	           	           	      0.546	      0.223	      0.256	      0.000	
 09/16-09:30	2507.600	2508.000	2505.400	2506.600	           1674	     15.000	   2500.147	   2496.787	   2493.582	           	           	      0.480	      0.204	      0.270	      0.000	
 09/16-09:31	2506.600	2507.000	2504.800	2507.000	           1871	     16.000	   2500.614	   2496.947	   2493.723	           	           	      0.467	      0.160	      0.280	      0.000	
 09/16-09:32	2507.000	2507.000	2503.800	2503.800	           2088	     17.000	   2500.973	   2497.043	   2493.830	           	           	      0.359	      0.096	      0.248	      0.000	
 09/16-09:33	2503.600	2506.000	2503.000	2505.200	           2608	     18.000	   2501.354	   2497.164	   2493.952	           	           	      0.381	      0.120	      0.228	      0.000	
 09/16-09:34	2505.200	2505.400	2502.200	2503.800	           2435	     19.000	   2501.726	   2497.263	   2494.072	           	           	      0.372	      0.099	      0.242	      0.000	
 09/16-09:35	2504.400	2504.400	2502.200	2503.200	           2009	     20.000	   2502.047	   2497.370	   2494.175	           	           	      0.321	      0.107	      0.223	      0.000	
 09/16-09:36	2503.200	2503.400	2499.600	2501.000	           3723	     21.000	   2502.294	   2497.454	   2494.280	           	           	      0.247	      0.083	      0.208	      0.000	
 09/16-09:37	2501.000	2501.200	2499.600	2499.600	           2691	     22.000	   2502.460	   2497.537	   2494.365	           	           	      0.167	      0.083	      0.190	      0.000	
 09/16-09:38	2499.600	2500.000	2497.000	2500.000	           4445	     23.000	   2502.647	   2497.633	   2494.448	           	           	      0.187	      0.096	      0.168	      0.000	
 09/16-09:39	2500.200	2501.200	2499.600	2500.000	           2910	     24.000	   2502.807	   2497.740	   2494.520	           	           	      0.160	      0.107	      0.155	      0.000	
 09/16-09:40	2500.200	2501.600	2498.800	2501.600	           2589	     25.000	   2503.047	   2497.870	   2494.602	           	           	      0.240	      0.130	      0.153	      0.000	
 09/16-09:41	2501.400	2502.000	2499.400	2499.600	           1831	     26.000	   2503.226	   2497.973	   2494.658	           	           	      0.179	      0.104	      0.138	      0.000	
 09/16-09:42	2500.000	2500.200	2495.800	2497.000	           3042	     27.000	   2503.300	   2498.046	   2494.690	           	           	      0.074	      0.073	      0.088	      0.000	
 09/16-09:43	2497.200	2497.800	2495.000	2495.000	           2876	     28.000	   2503.240	   2498.063	   2494.728	           	           	     -0.061	      0.017	      0.070	      0.000	
 09/16-09:44	2495.000	2497.400	2494.800	2497.000	           3002	     29.000	   2503.247	   2498.133	   2494.785	           	           	      0.007	      0.070	      0.095	      0.000	
 09/16-09:45	2497.000	2499.000	2495.400	2497.800	           2839	     30.000	   2503.267	   2498.197	   2494.850	           	           	      0.020	      0.063	      0.122	      0.000	
 09/16-09:46	2497.800	2498.800	2497.800	2498.400	           1869	     31.000	   2503.107	   2498.304	   2494.918	           	           	     -0.159	      0.107	      0.134	      0.000	
 09/16-09:47	2498.800	2498.800	2496.200	2497.200	           1701	     32.000	   2502.906	   2498.407	   2494.980	           	           	     -0.201	      0.103	      0.130	      0.000	
 09/16-09:48	2497.000	2497.800	2496.400	2497.400	            947	     33.000	   2502.674	   2498.487	   2495.040	           	           	     -0.232	      0.080	      0.122	      0.000	
 09/16-09:49	2497.400	2497.600	2495.000	2496.600	           1971	     34.000	   2502.394	   2498.563	   2495.105	           	           	     -0.280	      0.076	      0.125	      0.000	
 09/16-09:50	2496.200	2496.400	2494.200	2495.600	           2633	     35.000	   2502.126	   2498.633	   2495.167	           	           	     -0.268	      0.070	      0.127	      0.000	
 09/16-09:51	2495.800	2498.000	2495.000	2497.400	           2353	     36.000	   2501.900	   2498.710	   2495.247	           	           	     -0.226	      0.077	      0.142	      0.000	
 09/16-09:52	2497.600	2498.000	2495.000	2496.400	           2353	     37.000	   2501.614	   2498.783	   2495.318	           	           	     -0.286	      0.073	      0.152	      0.000	
 09/16-09:53	2495.600	2496.600	2494.200	2496.200	           1834	     38.000	   2501.286	   2498.860	   2495.375	           	           	     -0.327	      0.076	      0.128	      0.000	
 09/16-09:54	2496.400	2496.600	2494.400	2495.200	           1440	     39.000	   2500.933	   2498.914	   2495.430	           	           	     -0.353	      0.054	      0.112	      0.000	
 09/16-09:55	2495.600	2495.600	2493.000	2493.600	           2628	     40.000	   2500.420	   2498.947	   2495.478	           	           	     -0.514	      0.033	      0.103	      0.000	
 09/16-09:56	2493.800	2494.400	2492.400	2494.000	           2682	     41.000	   2499.974	   2499.007	   2495.517	           	           	     -0.446	      0.060	      0.086	      0.000	
 09/16-09:57	2494.200	2495.600	2493.200	2493.200	           2243	     42.000	   2499.459	   2499.033	   2495.550	           	           	     -0.514	      0.027	      0.072	      0.000	
 09/16-09:58	2493.000	2494.200	2492.600	2494.000	           1465	     43.000	   2499.026	   2499.073	   2495.600	           	           	     -0.433	      0.040	      0.083	      0.000	
 09/16-09:59	2493.800	2496.400	2493.000	2496.400	           2502	     44.000	   2498.660	   2499.164	   2495.680	           	           	     -0.366	      0.090	      0.130	      0.000	
 09/16-10:00	2496.200	2497.400	2495.600	2496.800	           2365	     45.000	   2498.333	   2499.240	   2495.769	           	           	     -0.327	      0.076	      0.168	      0.000	
 09/16-10:01	2496.600	2497.400	2496.000	2496.600	           1542	     46.000	   2497.987	   2499.300	   2495.867	           	           	     -0.347	      0.060	      0.187	      0.000	
 09/16-10:02	2496.400	2497.400	2496.200	2497.000	           1020	     47.000	   2497.760	   2499.367	   2495.963	           	           	     -0.226	      0.067	      0.195	      0.000	
 09/16-10:03	2496.800	2498.800	2496.600	2497.000	           2888	     48.000	   2497.487	   2499.420	   2496.052	           	           	     -0.274	      0.054	      0.185	      0.000	
 09/16-10:04	2496.800	2497.400	2495.400	2495.800	           1592	     49.000	   2497.220	   2499.473	   2496.140	           	           	     -0.267	      0.052	      0.177	      0.000	
 09/16-10:05	2495.800	2496.000	2492.200	2493.000	           3302	     50.000	   2496.879	   2499.463	   2496.183	           	           	     -0.341	     -0.010	      0.131	      0.000	
 09/16-10:06	2492.600	2493.000	2491.400	2492.200	           3043	     51.000	   2496.586	   2499.440	   2496.213	           	           	     -0.293	     -0.023	      0.073	      0.000	
 09/16-10:07	2492.000	2492.400	2490.800	2491.400	           2699	     52.000	   2496.313	   2499.387	   2496.233	           	           	     -0.273	     -0.053	      0.050	      0.000	
 09/16-10:08	2491.000	2491.000	2488.000	2489.200	           5235	     53.000	   2495.953	   2499.300	   2496.237	           	           	     -0.360	     -0.087	      0.023	      0.000	
 09/16-10:09	2489.600	2491.200	2489.000	2490.200	           1819	     54.000	   2495.626	   2499.217	   2496.247	           	           	     -0.327	     -0.083	      0.013	      0.000	
 09/16-10:10	2490.000	2491.200	2489.200	2489.200	           2269	     55.000	   2495.214	   2499.130	   2496.217	           	           	     -0.412	     -0.086	     -0.020	      0.000	
 09/16-10:11	2489.400	2490.000	2487.400	2489.000	           3081	     56.000	   2494.860	   2499.043	   2496.187	           	           	     -0.353	     -0.087	     -0.060	      0.000	
 09/16-10:12	2489.000	2489.200	2488.000	2489.000	           1369	     57.000	   2494.594	   2498.947	   2496.153	           	           	     -0.267	     -0.096	     -0.063	      0.000	
 09/16-10:13	2489.000	2490.400	2488.800	2489.800	           2097	     58.000	   2494.420	   2498.830	   2496.136	           	           	     -0.174	     -0.117	     -0.050	      0.000	
 09/16-10:14	2490.000	2491.000	2489.600	2489.800	           1305	     59.000	   2494.180	   2498.714	   2496.120	           	           	     -0.240	     -0.116	     -0.033	      0.000	
 09/16-10:15	2490.200	2490.400	2488.800	2490.000	           2123	     60.000	   2493.920	   2498.593	   2496.118	           	           	     -0.260	     -0.120	     -0.018	      0.000	
 09/16-10:16	2489.800	2490.400	2486.800	2487.200	           2529	     61.000	   2493.546	   2498.327	   2496.097	           	           	     -0.374	     -0.267	     -0.023	      0.000	
 09/16-10:17	2487.200	2488.400	2487.000	2487.000	           1720	     62.000	   2493.206	   2498.056	   2496.055	           	           	     -0.340	     -0.271	     -0.063	      0.000	
 09/16-10:18	2487.000	2487.600	2486.000	2487.400	           2525	     63.000	   2492.874	   2497.774	   2496.010	           	           	     -0.332	     -0.282	     -0.086	      0.000	
 09/16-10:19	2487.400	2488.000	2485.600	2486.800	           2003	     64.000	   2492.546	   2497.470	   2495.945	           	           	     -0.328	     -0.304	     -0.110	      0.000	
 09/16-10:20	2486.400	2486.600	2484.600	2485.000	           2935	     65.000	   2492.193	   2497.159	   2495.888	           	           	     -0.353	     -0.310	     -0.122	      0.000	
 09/16-10:21	2484.800	2486.600	2483.400	2486.400	           3020	     66.000	   2491.827	   2496.864	   2495.848	           	           	     -0.365	     -0.296	     -0.096	      0.000	
 09/16-10:22	2486.400	2487.600	2486.000	2486.600	           2572	     67.000	   2491.499	   2496.556	   2495.800	           	           	     -0.328	     -0.307	     -0.088	      0.000	
 09/16-10:23	2487.000	2487.600	2486.400	2486.600	           1198	     68.000	   2491.180	   2496.233	   2495.752	           	           	     -0.319	     -0.323	     -0.097	      0.000	
 09/16-10:24	2486.600	2486.600	2483.000	2483.800	           2736	     69.000	   2490.800	   2495.867	   2495.670	           	           	     -0.380	     -0.367	     -0.130	      0.000	
 09/16-10:25	2484.400	2485.000	2473.200	2476.800	          10228	     70.000	   2490.241	   2495.330	   2495.522	           	           	     -0.559	     -0.536	     -0.230	      0.000	
 09/16-10:26	2476.800	2478.800	2475.200	2478.000	           4795	     71.000	   2489.707	   2494.841	   2495.377	           	           	     -0.533	     -0.490	     -0.293	      0.000	
 09/16-10:27	2477.800	2479.400	2477.400	2479.200	           2393	     72.000	   2489.241	   2494.350	   2495.250	           	           	     -0.467	     -0.490	     -0.272	      0.000	
 09/16-10:28	2479.600	2479.600	2477.400	2477.600	           1976	     73.000	   2488.693	   2493.859	   2495.110	           	           	     -0.548	     -0.491	     -0.267	      0.000	
 09/16-10:29	2477.800	2479.800	2477.800	2478.200	           2236	     74.000	   2488.087	   2493.374	   2494.979	           	           	     -0.605	     -0.485	     -0.272	      0.000	
 09/16-10:30	2478.600	2479.800	2477.200	2479.600	           2627	     75.000	   2487.512	   2492.923	   2494.855	           	           	     -0.575	     -0.451	     -0.255	      0.000	
 09/16-10:31	2479.600	2483.000	2478.800	2482.600	           4237	     76.000	   2487.047	   2492.517	   2494.732	           	           	     -0.466	     -0.406	     -0.247	      0.000	
 09/16-10:32	2482.400	2483.800	2481.800	2482.000	           3111	     77.000	   2486.547	   2492.154	   2494.598	           	           	     -0.500	     -0.363	     -0.257	      0.000	
 09/16-10:33	2482.000	2482.800	2481.400	2481.400	           1387	     78.000	   2486.026	   2491.756	   2494.460	           	           	     -0.521	     -0.397	     -0.272	      0.000	
 09/16-10:34	2481.800	2482.600	2479.200	2479.200	           1707	     79.000	   2485.473	   2491.346	   2494.305	           	           	     -0.553	     -0.410	     -0.294	      0.000	
 09/16-10:35	2479.200	2481.000	2478.600	2479.800	           2072	     80.000	   2485.033	   2490.956	   2494.163	           	           	     -0.439	     -0.390	     -0.297	      0.000	
 09/16-10:36	2480.000	2480.600	2478.600	2478.600	           1107	     81.000	   2484.580	   2490.583	   2494.019	           	           	     -0.453	     -0.373	     -0.286	      0.000	
 09/16-10:37	2478.600	2481.400	2478.600	2479.000	           1794	     82.000	   2484.167	   2490.240	   2493.888	           	           	     -0.414	     -0.343	     -0.275	      0.000	
 09/16-10:38	2479.000	2481.000	2479.000	2480.600	           1253	     83.000	   2483.879	   2489.916	   2493.775	           	           	     -0.288	     -0.324	     -0.244	      0.000	
 09/16-10:39	2480.400	2481.000	2479.200	2480.800	           1044	     84.000	   2483.567	   2489.596	   2493.668	           	           	     -0.313	     -0.320	     -0.220	      0.000	
 09/16-10:40	2481.000	2481.200	2478.600	2480.200	           1697	     85.000	   2483.266	   2489.240	   2493.555	           	           	     -0.301	     -0.357	     -0.220	      0.000	
 09/16-10:41	2480.000	2481.400	2477.600	2479.200	           1925	     86.000	   2482.941	   2488.901	   2493.437	           	           	     -0.325	     -0.339	     -0.231	      0.000	
 09/16-10:42	2479.200	2480.000	2477.200	2478.000	           2169	     87.000	   2482.574	   2488.584	   2493.315	           	           	     -0.367	     -0.317	     -0.240	      0.000	
