                  下月连续 (IFL1)

      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA30  	   MA.MA60  	   MA.MA120 	   MA.MA250 	
 12/19-09:46	2383.400	2383.800	2380.800	2382.400	           2386	           	           	           	           	
 12/19-09:47	2382.000	2383.000	2381.400	2382.400	           1512	           	           	           	           	
 12/19-09:48	2382.200	2383.200	2381.800	2382.800	            903	           	           	           	           	
 12/19-09:49	2382.800	2384.000	2381.600	2382.400	           2317	           	           	           	           	
 12/19-09:50	2382.400	2382.800	2380.000	2381.000	           2757	           	           	           	           	
 12/19-09:51	2380.800	2382.200	2380.400	2380.800	           1520	           	           	           	           	
 12/19-09:52	2380.800	2382.000	2380.000	2381.400	           1294	           	           	           	           	
 12/19-09:53	2381.400	2383.400	2381.200	2382.200	           1883	           	           	           	           	
 12/19-09:54	2382.000	2383.400	2381.600	2383.000	           1255	           	           	           	           	
 12/19-09:55	2383.000	2383.800	2381.800	2382.200	           1624	           	           	           	           	
 12/19-09:56	2382.400	2383.000	2381.200	2382.600	            969	           	           	           	           	
 12/19-09:57	2382.200	2382.400	2379.200	2380.400	           3187	           	           	           	           	
 12/19-09:58	2380.000	2381.200	2379.800	2380.400	           1692	           	           	           	           	
 12/19-09:59	2380.200	2380.800	2379.000	2379.200	           1374	           	           	           	           	
 12/19-10:00	2379.200	2380.200	2378.600	2379.400	           1736	           	           	           	           	
 12/19-10:01	2379.600	2379.600	2377.800	2378.200	           2394	           	           	           	           	
 12/19-10:02	2378.200	2378.200	2373.400	2374.400	           4232	           	           	           	           	
 12/19-10:03	2374.600	2376.600	2374.200	2376.600	           3101	           	           	           	           	
 12/19-10:04	2376.800	2379.800	2376.200	2379.600	           3632	           	           	           	           	
 12/19-10:05	2379.400	2381.400	2378.200	2381.200	           2503	           	           	           	           	
 12/19-10:06	2381.200	2381.200	2379.800	2380.200	           1967	           	           	           	           	
 12/19-10:07	2380.200	2380.600	2379.200	2379.400	           1131	           	           	           	           	
 12/19-10:08	2379.600	2380.400	2378.800	2380.200	           1262	           	           	           	           	
 12/19-10:09	2380.200	2380.800	2378.600	2378.800	           1241	           	           	           	           	
 12/19-10:10	2378.600	2380.000	2378.200	2378.800	           1265	           	           	           	           	
 12/19-10:11	2378.800	2380.600	2378.800	2380.200	           1574	           	           	           	           	
 12/19-10:12	2380.200	2381.000	2379.200	2380.200	           1418	           	           	           	           	
 12/19-10:13	2380.000	2382.800	2380.000	2382.800	           2131	           	           	           	           	
 12/19-10:14	2382.800	2383.400	2382.000	2382.600	           2869	           	           	           	           	
 12/19-10:15	2382.600	2383.200	2382.200	2382.400	           1229	   2380.607	           	           	           	
 12/19-10:16	2382.400	2383.800	2381.400	2383.000	           1909	   2380.627	           	           	           	
 12/19-10:17	2383.200	2383.400	2382.400	2383.400	           1248	   2380.660	           	           	           	
 12/19-10:18	2383.200	2385.000	2382.200	2384.400	           2675	   2380.713	           	           	           	
 12/19-10:19	2384.400	2385.000	2382.600	2383.000	           1736	   2380.733	           	           	           	
 12/19-10:20	2383.000	2383.200	2381.800	2382.600	           1713	   2380.787	           	           	           	
 12/19-10:21	2382.600	2384.000	2382.200	2383.800	           1218	   2380.887	           	           	           	
 12/19-10:22	2383.800	2385.800	2382.600	2385.800	           1996	   2381.033	           	           	           	
 12/19-10:23	2385.800	2394.600	2385.800	2392.800	          11112	   2381.387	           	           	           	
 12/19-10:24	2392.600	2392.800	2384.200	2385.600	           8018	   2381.473	           	           	           	
 12/19-10:25	2385.200	2387.800	2385.000	2386.000	           4070	   2381.600	           	           	           	
 12/19-10:26	2386.000	2386.400	2382.400	2382.600	           4871	   2381.600	           	           	           	
 12/19-10:27	2382.600	2384.800	2382.600	2384.800	           2102	   2381.747	           	           	           	
